CONSTI_NAME,CountiCode,SurName,OtherNames,COUNTY_NAME,
"        ""CONSTI_CODE"": ""243""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""KISUMU CENTRAL"",",,
"        ""CONSTI_CODE"": ""240""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""LUGARI"",",,
"        ""CONSTI_CODE"": ""199""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""ENDEBESS"",",,
"        ""CONSTI_CODE"": ""137""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""KWANZA"",",,
"        ""CONSTI_CODE"": ""136""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""SABOTI"",",,
"        ""CONSTI_CODE"": ""138""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""CHERANGANY"",",,
"        ""CONSTI_CODE"": ""140""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""KIMININI"",",,
"        ""CONSTI_CODE"": ""139""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""LIKUYANI"",",,
"        ""CONSTI_CODE"": ""200""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""LAFEY"",",,
"        ""CONSTI_CODE"": ""44""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""MANDERA EAST"",",,
"        ""CONSTI_CODE"": ""43""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""EMBAKASI WEST"",",,
"        ""CONSTI_CODE"": ""286""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""EMBAKASI EAST"",",,
"        ""CONSTI_CODE"": ""285""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""EMBAKASI NORTH"",",,
"        ""CONSTI_CODE"": ""283""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""EMBAKASI CENTRAL"",",,
"        ""CONSTI_CODE"": ""284""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""EMBAKASI SOUTH"",",,
"        ""CONSTI_CODE"": ""282""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""MAKADARA"",",,
"        ""CONSTI_CODE"": ""287""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""MWINGI WEST"",",,
"        ""CONSTI_CODE"": ""68""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""MWINGI CENTRAL"",",,
"        ""CONSTI_CODE"": ""69""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""MWINGI NORTH"",",,
"        ""CONSTI_CODE"": ""67""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""OL JOROK"",",,
"        ""CONSTI_CODE"": ""92""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""OL KALOU"",",,
"        ""CONSTI_CODE"": ""91""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""SUNA EAST"",",,
"        ""CONSTI_CODE"": ""255""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""SUNA WEST"",",,
"        ""CONSTI_CODE"": ""256""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""LAIKIPIA WEST"",",,
"        ""CONSTI_CODE"": ""163""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""LAIKIPIA EAST"",",,
"        ""CONSTI_CODE"": ""164""",,
"    },",,
    {,,
"        ""CONSTITUEN"": ""CHANGAMWE"",",,
"        ""CONSTI_CODE"": ""1""",,
    },,
  ],,

  for (let i=0; i<jsonC.length; i++){,,
    console.log('name ' + jsonC[i].CONSTITUEN),,
  },,
